,AGE,JOB,MARITAL,EDUCATION,DEFAULT,HOUSING,LOAN,CONTACT,MONTH,DAY_OF_WEEK,DURATION,CAMPAIGN,PDAYS,PREVIOUS,POUTCOME,EMP_VAR_RATE,CONS_PRICE_IDX,CONS_CONF_IDX,EURIBOR3M,NUM_EMPLOYEES,Y,EDU_ENCODED
30,38,TECHNICIAN,MARRIED,UNIVERSITY DEGREE,NO,YES,YES,CELLULAR,3,TUE,113.0,1.0,999,1,FAILURE,-1.8,92.84299999999999,-50.0,1.6869999999999998,5099.1,0,5
31,33,SERVICES,MARRIED,HIGH SCHOOL,UNKNOWN,YES,NO,TELEPHONE,6,MON,393.0,3.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.865,5228.1,0,4
32,51,TECHNICIAN,SINGLE,UNIVERSITY DEGREE,NO,NO,NO,CELLULAR,6,FRI,151.0,2.0,999,0,NONEXISTENT,-2.9,92.963,-40.8,1.268,5076.2,0,5
33,30,BLUE COLLAR,SINGLE,BASIC 4Y,UNKNOWN,YES,NO,TELEPHONE,6,TUE,256.0,1.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.864,5228.1,0,1
34,48,TECHNICIAN,MARRIED,UNIVERSITY DEGREE,NO,NO,NO,CELLULAR,8,THU,42.0,7.0,999,0,NONEXISTENT,1.4,93.749,-36.1,4.962,5228.1,0,5
35,28,BLUE COLLAR,SINGLE,BASIC 9Y,NO,YES,NO,TELEPHONE,6,WED,525.0,1.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.864,5228.1,0,3
36,36,BLUE COLLAR,MARRIED,BASIC 6Y,NO,YES,NO,TELEPHONE,5,WED,57.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.859,5191.0,0,2
37,46,MANAGEMENT,DIVORCED,HIGH SCHOOL,NO,NO,NO,CELLULAR,11,WED,499.0,1.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.12,5195.8,0,4
38,31,TECHNICIAN,SINGLE,UNKNOWN,NO,YES,NO,CELLULAR,5,WED,84.0,1.0,999,1,FAILURE,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,-1
39,20,STUDENT,SINGLE,UNKNOWN,NO,NO,NO,CELLULAR,10,MON,137.0,3.0,999,3,FAILURE,-1.1,94.601,-49.5,0.977,4963.6,0,-1
40,35,SERVICES,MARRIED,HIGH SCHOOL,UNKNOWN,YES,NO,CELLULAR,5,TUE,31.0,1.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.344,5099.1,0,4
41,38,BLUE COLLAR,MARRIED,BASIC 9Y,UNKNOWN,UNKNOWN,UNKNOWN,TELEPHONE,6,FRI,430.0,1.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.967,5228.1,0,3
42,76,RETIRED,MARRIED,UNIVERSITY DEGREE,NO,NO,NO,CELLULAR,8,THU,126.0,1.0,999,1,FAILURE,-1.7,94.027,-38.3,0.899,4991.6,0,5
43,45,ENTREPRENEURS,DIVORCED,PROFESSIONAL COURSE,NO,YES,NO,CELLULAR,7,TUE,211.0,3.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.961,5228.1,0,6
44,32,HOUSEMAID,MARRIED,BASIC 4Y,NO,YES,YES,CELLULAR,5,FRI,340.0,1.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,1
45,39,MANAGEMENT,SINGLE,UNIVERSITY DEGREE,UNKNOWN,NO,NO,CELLULAR,5,THU,412.0,2.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,5
46,32,ADMIN ,MARRIED,UNIVERSITY DEGREE,NO,NO,NO,TELEPHONE,11,THU,132.0,1.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.592,5195.8,0,5
47,29,ADMIN ,SINGLE,BASIC 9Y,NO,NO,NO,CELLULAR,5,MON,79.0,2.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,3
48,44,SERVICES,MARRIED,PROFESSIONAL COURSE,NO,NO,NO,CELLULAR,8,MON,341.0,2.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.97,5228.1,0,6
49,32,SERVICES,MARRIED,HIGH SCHOOL,NO,NO,YES,CELLULAR,7,FRI,157.0,3.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.957,5228.1,0,4
50,56,RETIRED,MARRIED,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,6,WED,252.0,1.0,999,2,FAILURE,-2.9,92.963,-40.8,1.26,5076.2,0,5
51,33,BLUE COLLAR,MARRIED,BASIC 9Y,NO,YES,NO,CELLULAR,5,THU,263.0,1.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,3
52,39,MANAGEMENT,MARRIED,HIGH SCHOOL,NO,NO,NO,CELLULAR,8,FRI,215.0,3.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.966,5228.1,0,4
53,24,TECHNICIAN,MARRIED,UNIVERSITY DEGREE,NO,YES,YES,CELLULAR,9,TUE,89.0,2.0,3,1,SUCCESS,-3.4,92.37899999999999,-29.8,0.77,5017.5,1,5
54,33,ADMIN ,SINGLE,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,5,THU,143.0,1.0,999,0,NONEXISTENT,1.1,92.89299999999999,-46.2,1.327,5099.1,0,5
55,58,ENTREPRENEURS,DIVORCED,UNIVERSITY DEGREE,NO,NO,NO,TELEPHONE,6,THU,40.0,2.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.8660000000000005,5228.1,0,5
56,29,ADMIN ,SINGLE,UNIVERSITY DEGREE,NO,YES,NO,TELEPHONE,6,FRI,10.0,27.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.959,5228.1,0,5
57,31,ADMIN ,MARRIED,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,8,THU,113.0,1.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,5
58,27,ADMIN ,MARRIED,UNIVERSITY DEGREE,NO,NO,NO,TELEPHONE,5,WED,191.0,5.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,5
59,60,ADMIN ,DIVORCED,PROFESSIONAL COURSE,NO,YES,NO,CELLULAR,9,WED,481.0,1.0,999,1,FAILURE,-1.1,94.199,-37.5,0.8859999999999999,4963.6,1,6
60,55,ENTREPRENEURS,MARRIED,PROFESSIONAL COURSE,NO,YES,YES,CELLULAR,10,MON,233.0,1.0,999,2,FAILURE,-3.4,92.431,-26.9,0.7390000000000001,5017.5,0,6
61,37,BLUE COLLAR,MARRIED,BASIC 9Y,NO,YES,NO,CELLULAR,5,WED,204.0,2.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,3
62,52,ADMIN ,MARRIED,UNKNOWN,NO,YES,NO,TELEPHONE,4,WED,403.0,1.0,6,1,SUCCESS,-1.8,93.749,-34.6,0.654,5008.7,1,-1
63,46,SERVICES,MARRIED,HIGH SCHOOL,NO,YES,NO,CELLULAR,4,MON,180.0,1.0,999,0,NONEXISTENT,-1.8,93.075,-47.1,1.405,5099.1,0,4
64,42,BLUE COLLAR,DIVORCED,BASIC 6Y,NO,YES,NO,CELLULAR,5,WED,16.0,2.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.281,5099.1,0,2
65,35,ADMIN ,SINGLE,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,7,MON,447.0,3.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.96,5228.1,0,5
66,49,TECHNICIAN,DIVORCED,UNKNOWN,NO,YES,YES,CELLULAR,10,THU,81.0,1.0,999,0,NONEXISTENT,-3.4,92.431,-26.9,0.754,5017.5,0,-1
67,29,SERVICES,DIVORCED,HIGH SCHOOL,NO,NO,YES,TELEPHONE,6,MON,361.0,3.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.865,5228.1,0,4
68,32,BLUE COLLAR,MARRIED,BASIC 9Y,NO,NO,NO,CELLULAR,11,MON,1091.0,2.0,5,1,SUCCESS,-0.1,93.2,-42.0,4.191,5195.8,1,3
69,37,SELF EMPLOYED,MARRIED,UNIVERSITY DEGREE,NO,NO,NO,CELLULAR,5,FRI,395.0,1.0,999,1,FAILURE,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,5
70,39,TECHNICIAN,SINGLE,PROFESSIONAL COURSE,UNKNOWN,NO,NO,TELEPHONE,6,MON,432.0,4.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.865,5228.1,1,6
71,51,SERVICES,MARRIED,HIGH SCHOOL,UNKNOWN,YES,NO,TELEPHONE,7,MON,596.0,3.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.962,5228.1,1,4
72,28,ADMIN ,SINGLE,HIGH SCHOOL,NO,YES,NO,CELLULAR,5,TUE,59.0,3.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.291,5099.1,0,4
73,34,MANAGEMENT,MARRIED,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,5,WED,77.0,4.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.281,5099.1,0,5
74,31,TECHNICIAN,SINGLE,HIGH SCHOOL,NO,YES,YES,CELLULAR,8,TUE,768.0,1.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.966,5228.1,1,4
75,31,ADMIN ,MARRIED,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,8,THU,96.0,5.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.962,5228.1,0,5
76,31,ADMIN ,SINGLE,UNIVERSITY DEGREE,NO,YES,NO,TELEPHONE,6,WED,357.0,2.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.864,5228.1,0,5
77,38,SELF EMPLOYED,SINGLE,UNIVERSITY DEGREE,NO,NO,NO,TELEPHONE,5,THU,459.0,2.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.855,5191.0,0,5
78,33,UNEMPLOYED,MARRIED,BASIC 9Y,NO,NO,NO,TELEPHONE,6,FRI,11.0,6.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.959,5228.1,0,3
79,32,TECHNICIAN,SINGLE,UNIVERSITY DEGREE,NO,NO,NO,CELLULAR,8,TUE,264.0,12.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.966,5228.1,0,5
80,54,TECHNICIAN,MARRIED,PROFESSIONAL COURSE,UNKNOWN,YES,NO,CELLULAR,4,MON,698.0,1.0,999,0,NONEXISTENT,-1.8,93.075,-47.1,1.405,5099.1,0,6
81,41,ADMIN ,DIVORCED,HIGH SCHOOL,NO,YES,NO,TELEPHONE,6,TUE,204.0,2.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.961,5228.1,0,4
82,59,SERVICES,MARRIED,BASIC 4Y,UNKNOWN,NO,NO,CELLULAR,8,THU,0.0,7.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.963,5228.1,0,1
83,57,RETIRED,MARRIED,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,4,THU,374.0,1.0,2,1,SUCCESS,-1.8,93.075,-47.1,1.365,5099.1,0,5
84,38,ENTREPRENEURS,DIVORCED,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,11,THU,252.0,1.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,5
85,46,ADMIN ,MARRIED,UNIVERSITY DEGREE,NO,YES,NO,TELEPHONE,5,TUE,158.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,5
86,37,UNEMPLOYED,SINGLE,UNIVERSITY DEGREE,NO,YES,YES,CELLULAR,11,TUE,95.0,1.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,5
87,47,SERVICES,SINGLE,BASIC 9Y,NO,UNKNOWN,UNKNOWN,TELEPHONE,6,THU,835.0,3.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.961,5228.1,1,3
88,45,ADMIN ,SINGLE,UNIVERSITY DEGREE,NO,NO,NO,CELLULAR,8,THU,505.0,1.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.9639999999999995,5228.1,1,5
89,36,BLUE COLLAR,MARRIED,BASIC 6Y,NO,YES,NO,TELEPHONE,7,WED,16.0,1.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.962,5228.1,0,2
90,40,UNEMPLOYED,SINGLE,HIGH SCHOOL,NO,YES,NO,CELLULAR,7,MON,300.0,5.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.96,5228.1,0,4
91,38,BLUE COLLAR,MARRIED,BASIC 9Y,NO,NO,NO,CELLULAR,11,TUE,180.0,2.0,999,1,FAILURE,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,3
92,44,BLUE COLLAR,MARRIED,HIGH SCHOOL,UNKNOWN,NO,NO,TELEPHONE,6,TUE,390.0,2.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.961,5228.1,0,4
93,25,SELF EMPLOYED,MARRIED,UNIVERSITY DEGREE,NO,YES,NO,TELEPHONE,5,FRI,274.0,2.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,5
94,30,BLUE COLLAR,SINGLE,BASIC 6Y,NO,YES,NO,TELEPHONE,7,TUE,135.0,5.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.961,5228.1,0,2
95,43,MANAGEMENT,MARRIED,PROFESSIONAL COURSE,NO,NO,NO,CELLULAR,11,TUE,257.0,2.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,6
96,58,RETIRED,MARRIED,BASIC 6Y,UNKNOWN,NO,NO,TELEPHONE,5,MON,268.0,3.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2
97,31,TECHNICIAN,MARRIED,PROFESSIONAL COURSE,NO,YES,NO,TELEPHONE,5,WED,157.0,6.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.856,5191.0,0,6
98,53,MANAGEMENT,MARRIED,UNIVERSITY DEGREE,NO,NO,NO,CELLULAR,7,TUE,477.0,2.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.961,5228.1,0,5
99,52,ADMIN ,MARRIED,UNKNOWN,NO,NO,NO,CELLULAR,8,TUE,91.0,1.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.968,5228.1,0,-1
100,37,MANAGEMENT,MARRIED,UNIVERSITY DEGREE,UNKNOWN,NO,YES,CELLULAR,4,FRI,76.0,1.0,999,1,FAILURE,-1.8,93.075,-47.1,1.405,5099.1,0,5
101,58,ADMIN ,MARRIED,HIGH SCHOOL,UNKNOWN,YES,NO,CELLULAR,7,TUE,103.0,1.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.961,5228.1,0,4
102,37,SERVICES,MARRIED,HIGH SCHOOL,NO,YES,YES,CELLULAR,5,THU,436.0,3.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,4
103,38,ADMIN ,SINGLE,UNKNOWN,NO,YES,NO,CELLULAR,5,FRI,191.0,1.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,-1
104,33,SERVICES,SINGLE,BASIC 9Y,NO,YES,NO,CELLULAR,4,THU,483.0,2.0,999,0,NONEXISTENT,-1.8,93.075,-47.1,1.41,5099.1,0,3
105,45,SERVICES,MARRIED,HIGH SCHOOL,UNKNOWN,YES,NO,CELLULAR,5,FRI,250.0,1.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.25,5099.1,0,4
106,44,ENTREPRENEURS,MARRIED,PROFESSIONAL COURSE,NO,NO,NO,TELEPHONE,5,MON,259.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,6
107,38,BLUE COLLAR,MARRIED,BASIC 6Y,NO,YES,NO,TELEPHONE,7,THU,389.0,2.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.966,5228.1,0,2
108,34,BLUE COLLAR,MARRIED,BASIC 9Y,NO,NO,NO,TELEPHONE,6,TUE,7.0,1.0,999,0,NONEXISTENT,-1.7,94.055,-39.8,0.7020000000000001,4991.6,0,3
109,47,MANAGEMENT,MARRIED,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,7,WED,123.0,1.0,999,0,NONEXISTENT,-2.9,92.469,-33.6,1.0290000000000001,5076.2,0,5
110,59,ADMIN ,MARRIED,UNIVERSITY DEGREE,NO,YES,YES,CELLULAR,7,WED,92.0,1.0,999,0,NONEXISTENT,-2.9,92.469,-33.6,1.085,5076.2,0,5
111,51,BLUE COLLAR,MARRIED,BASIC 4Y,UNKNOWN,YES,YES,CELLULAR,8,THU,297.0,2.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,1
112,31,BLUE COLLAR,MARRIED,BASIC 6Y,NO,YES,NO,TELEPHONE,6,WED,406.0,2.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.864,5228.1,0,2
113,56,MANAGEMENT,MARRIED,UNIVERSITY DEGREE,NO,YES,YES,CELLULAR,11,WED,104.0,1.0,999,1,FAILURE,-0.1,93.2,-42.0,4.12,5195.8,0,5
114,39,ADMIN ,MARRIED,UNIVERSITY DEGREE,NO,NO,NO,TELEPHONE,6,MON,135.0,2.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.961,5228.1,0,5
115,41,ENTREPRENEURS,MARRIED,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,11,TUE,854.0,1.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.1530000000000005,5195.8,1,5
116,41,MANAGEMENT,DIVORCED,BASIC 6Y,NO,YES,NO,CELLULAR,11,THU,147.0,1.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,2
117,53,SERVICES,MARRIED,HIGH SCHOOL,UNKNOWN,NO,NO,TELEPHONE,5,THU,203.0,4.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.86,5191.0,0,4
118,35,BLUE COLLAR,MARRIED,HIGH SCHOOL,NO,NO,YES,CELLULAR,7,MON,149.0,4.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.962,5228.1,0,4
119,58,RETIRED,MARRIED,BASIC 9Y,NO,NO,YES,CELLULAR,5,WED,144.0,1.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,3
120,25,SELF EMPLOYED,MARRIED,PROFESSIONAL COURSE,NO,YES,NO,TELEPHONE,6,WED,394.0,2.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.959,5228.1,0,6
121,35,BLUE COLLAR,DIVORCED,BASIC 9Y,NO,YES,NO,CELLULAR,5,TUE,523.0,1.0,999,1,FAILURE,-1.8,92.89299999999999,-46.2,1.344,5099.1,0,3
122,28,SERVICES,SINGLE,HIGH SCHOOL,NO,NO,NO,CELLULAR,7,WED,73.0,1.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.963,5228.1,0,4
123,55,BLUE COLLAR,MARRIED,PROFESSIONAL COURSE,NO,YES,YES,CELLULAR,5,FRI,197.0,3.0,999,1,FAILURE,-1.8,92.89299999999999,-46.2,1.25,5099.1,0,6
124,54,ENTREPRENEURS,MARRIED,BASIC 4Y,UNKNOWN,NO,YES,TELEPHONE,5,THU,108.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.855,5191.0,0,1
125,45,TECHNICIAN,DIVORCED,BASIC 9Y,UNKNOWN,NO,NO,CELLULAR,7,WED,80.0,2.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.962,5228.1,0,3
126,32,BLUE COLLAR,MARRIED,BASIC 9Y,NO,YES,NO,CELLULAR,4,THU,114.0,1.0,999,1,FAILURE,-1.8,93.075,-47.1,1.41,5099.1,0,3
127,50,ADMIN ,MARRIED,BASIC 9Y,UNKNOWN,YES,NO,CELLULAR,8,THU,122.0,3.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.963,5228.1,0,3
128,75,RETIRED,MARRIED,BASIC 4Y,NO,NO,NO,CELLULAR,4,TUE,109.0,1.0,999,1,FAILURE,-1.8,93.075,-47.1,1.405,5099.1,1,1
129,33,SELF EMPLOYED,DIVORCED,UNKNOWN,NO,NO,NO,TELEPHONE,5,WED,1161.0,4.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,-1
130,29,MANAGEMENT,MARRIED,UNIVERSITY DEGREE,NO,NO,YES,CELLULAR,8,WED,181.0,2.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.967,5228.1,0,5
131,45,MANAGEMENT,MARRIED,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,5,THU,239.0,1.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,5
132,38,ADMIN ,DIVORCED,UNIVERSITY DEGREE,NO,NO,NO,CELLULAR,4,MON,360.0,1.0,999,0,NONEXISTENT,-1.8,93.075,-47.1,1.392,5099.1,1,5
